CODE CPV;DE Label;EN Label;ES Label;FR Label;PT Label;Short Code
33731110-7;Intraokulare Linsen;Intraocular lenses;Lentes intraoculares;Lentilles intra-oculaires;Lentes intraoculares;33731110
33929000-8;Set für den Gewebeaufbau;Cadaver tissue builder kits;Maletines de regeneración del tejido dactilar en cadáveres;Kits de reconstitution des tissus;Estojos com reconstituintes de tecidos de cadáveres;33929000
34111100-9;Kombiwagen;Estate cars;Breaks;Breaks;Automóveis familiares;34111100
34115200-8;Kraftfahrzeuge für den Transport von weniger als 10 Personen;Motor vehicles for the transport of fewer than 10 persons;Vehículos de motor para el transporte de menos de diez personas;Véhicules à moteur pour le transport de moins de dix personnes;Veículos a motor para o transporte de menos de dez pessoas;34115200
34140000-0;Schwerlastfahrzeuge;Heavy-duty motor vehicles;Vehículos pesados;Poids lourds;Veículos a motor pesados;34140000
34224100-4;Teile für Anhänger und Sattelanhänger;Parts of trailers and semi-trailers;Partes de remolques y semirremolques;Pièces pour remorques et semi-remorques;Partes de reboques e semi-reboques;34224100
34324000-4;Räder, Teile und Zubehör;Wheels, parts and accessories;Ruedas, sus partes y accesorios;Roues, pièces détachées et accessoires;Rodas, peças e acessórios para rodas;34324000
34422000-7;Fahrräder mit Hilfsmotor;Cycles with auxiliary motors;Bicicletas con motor auxiliar;Cycles à moteur auxiliaire;Bicicletas com motores auxiliares;34422000
34513300-9;Seetüchtige Schwimmdocks;Seagoing floating docks;Diques flotantes para navegación marítima;Docks de mer flottants;Docas marítimas flutuantes;34513300
34940000-8;Eisenbahnmaterial;Railway equipment;Equipo ferroviario;Équipement ferroviaire;Equipamento para vias férreas;34940000
34964000-2;Doppler-UKW-Drehfunkfeuer (DVOR);Doppler VHF Omni direction Range (DVOR);Radiofaro omnidireccional VHF Doppler (DVOR);Radiophare d'alignement omnidirectionnel VHF Doppler (DVOR);Doppler VHF Omni direction Range (DVOR);34964000
34965000-9;Entfernungsmessgerät (DME);Distance Measuring Equipment (DME);Equipo radiotelemétrico (DME);Appareil de mesure des distances (DME);Equipamento de medição de distâncias (DME);34965000
35000000-4;Ausrüstung für Sicherheitszwecke, Brandbekämpfung, Polizei und Verteidigung;Security, fire-fighting, police and defence equipment;Equipo de seguridad, extinción de incendios, policía y defensa;Équipement de sécurité, de lutte contre l'incendie, de police et de défense;Equipamento de segurança, combate a incêndios, polícia e defesa;35000000
35112100-3;Notfalltrainingspuppe;Emergency training dolls;Maniquíes para la formación sobre situaciones de emergencia;Mannequins d'entraînement pour les urgences;Manequins para formação sobre emergências;35112100
35113470-4;Schutzkleidung (Hemden und Hosen);Protective shirts or pants;Camisas o pantalones de protección;Chemises ou pantalons de protection;Camisas ou calções de protecção;35113470
35123200-4;Ausrüstung für gleitende Arbeitszeit;Flexible-working-hours equipment;Equipo para horario de trabajo flexible;Équipement pour horaires flexibles;Equipamento para horários de trabalho flexíveis;35123200
35125300-2;Sicherheitskameras;Security cameras;Cámaras de seguridad;Caméras de sécurité;Câmaras de segurança;35125300
35230000-5;Handschellen;Handcuffs;Esposas;Menottes;Algemas;35230000
35260000-4;Polizeischilder;Police signs;Señales de policía;Signalisation de police;Sinais de polícia;35260000
35340000-9;Teile von Feuerwaffen und Munition;Parts of firearms and ammunition;Partes de armas de fuego y municiones;Pièces pour armes à feu et munitions;Peças de armas de fogo e munições;35340000
35421100-2;Motoren und Motorenteile für Militärfahrzeuge;Engines and engine parts for military vehicles;Motores y partes de motores para vehículos militares;Moteurs et pièces de moteur pour véhicules militaires;Motores e peças de motores para veículos militares;35421100
35511100-0;Flugzeugträger;Aircraft carriers;Portaaviones;Porte-avions;Porta-aviões;35511100
35600000-0;Militärflugzeuge, Raketen und Raumfahrzeuge;Military aircrafts, missiles and spacecrafts;Aeronaves militares, misiles y naves espaciales;Avions, missiles et spationefs militaires;Aeronaves, mísseis e naves espaciais militares;35600000
35722000-1;Radar;Radar;Radares;Radar;Radar;35722000
35730000-0;Systeme für elektronische Kampfführung und elektronische Gegenmaßnahmen;Electronic warfare systems and counter measures;Sistemas de guerra electrónica y contramedidas;Systèmes de guerre électronique et contre-mesures;Sistemas e contramedidas de guerra electrónica;35730000
37311000-1;Tasteninstrumente;Keyboard instruments;Instrumentos de teclado;Instruments à clavier;Instrumentos de teclas;37311000
37314000-2;Blasinstrumente;Wind instruments;Instrumentos de viento;Instruments à vent;Instrumentos musicais de sopro;37314000
37411150-8;Snowboards;Snowboards;Tablas de snowboard;Planches à ski;Pranchas de snowboarding;37411150
37414600-9;Campingkocher, Outdooröfen;Camping or outdoor stoves;Cocinas y hornillos para acampada y uso al aire libre;Réchauds de camping;Fogões de campismo ou de exterior;37414600
37422100-3;Recks, Barren;Gymnastic bars;Barras de gimnasia;Barres de gymnastique;Barras de ginástica;37422100
37425000-3;Trampoline;Gymnastic trampolines;Trampolines de gimnasia;Trampolines de gymnastique;Trampolins;37425000
37452400-5;Bälle, Griffbänder und Schlaufen für Racquetball;Racquetball balls, grips and strings;Pelotas, mangos y cuerdas para raquetbol;Balles, grips et cordes pour le racquetball;Bolas, bainhas e trançados de raquetebol;37452400
37461000-7;Tischspiele und entsprechende Ausrüstungen;Table games and equipment;Juegos de mesa y sus equipos;Équipement pour jeux de table;Jogos e equipamentos de mesa;37461000
37461100-8;Air-Hockey-Tische und -Zubehör;Air hockey tables or accessories;Mesas y accesorios para hockey aéreo;Tables pour hockey sur coussins d'air ou accessoires;Mesas ou acessórios para air hockey;37461100
37471200-2;Golfbälle;Golf balls;Bolas de golf;Balles de golf;Bolas de golfe;37471200
37481000-3;Eisaufbereitungsmaschinen;Ice maintenance machines;Maquinaria de mantenimiento del hielo;Machines d'entretien de la glace;Máquinas de manutenção de gelo em rinques de patinagem;37481000
37526000-1;Spielzeugeimer;Toy pails;Cubos de juguete;Seaux-jouets;Baldes de brinquedo;37526000
37535240-1;Rutschbahnen für Spielplätze;Playground slides;Toboganes para parques infantiles;Toboggans pour terrain de jeux;Escorregas para áreas de recreação;37535240
37823500-8;Kunstdruckpapier;Art and craft paper;Papel kraft y papel para trabajos artísticos;Papier couché et papier d'artisanat;Papel para trabalhos manuais;37823500
37823600-9;Zeichenpapier;Drawing paper;Papel de dibujo;Papier à dessin;Papel de desenho;37823600
38126400-8;Oberflächen-Geräte zur Messung von Wind;Wind surface observing apparatus;Aparatos de observación en superficie del viento;Appareils d'observation en surface des vents;Aparelhos de observação de superfície para vento;38126400
38310000-1;Präzisionswaagen;Precision balances;Balanzas de precisión;Balances de précision;Balanças de precisão;38310000
38344000-8;Ausrüstung für Verunreinigungsüberwachung;Pollution-monitoring devices;Aparatos para el control de la polución;Système de surveillance de la pollution;Aparelhos para controlo da poluição;38344000
38421000-2;Durchflussmessgeräte;Flow-measuring equipment;Equipo de medida del caudal;Débitmètres;Equipamento para medição do caudal;38421000
38425000-0;Strömungstechnikgeräte;Fluid mechanics equipment;Equipo para la mecánica de fluidos;Équipement pour mécanique des fluides;Equipamento para mecânica dos fluidos;38425000
38433000-9;Spektrometer;Spectrometers;Espectrómetros;Spectromètres;Espectrómetros;38433000
38433200-1;Emissionsmessungsgeräte;Emission measurement equipment;Equipo de medir emisiones;Matériel de mesure des émissions;Equipamento para medição de emissões;38433200
38519400-0;Automatische Mikroskoptische;Automated microscope stages;Platinas automáticas de microscopio;Platines porte-objet automatisées pour microscopes;Bases automatizadas de colocação de lâminas para microscópios;38519400
38519610-5;Mikroskopokulare;Microscope eyepieces;Oculares de microscopio;Oculaires de microscope;Oculares para microscópios;38519610
38519660-0;Mikroskopabdeckungen;Microscope covers;Fundas para microscopio;Housses de microscope;Protecções para microscópios;38519660
38527200-7;Dosimeter;Dosimeters;Dosímetros;Dosimètres;Dosímetros;38527200
38652300-3;Verkleinerungsgeräte;Reducers;Reductoras;Réducteurs;Redutores;38652300
38654300-7;Mikroformgeräte;Microform equipment;Equipo para microformatos;Matériel pour microformes;Equipamento para microformatos;38654300
39110000-6;Sitze, Stühle sowie Zubehörprodukte und -teile;Seats, chairs and related products, and associated parts;Asientos, sillas y productos conexos y piezas correspondientes;Sièges, chaises et articles assimilés, et pièces connexes;Assentos, cadeiras e produtos afins e peças associadas;39110000
39135000-7;Sortiertische;Sorting tables;Mesas de clasificación;Tables de tri;Mesas de triagem;39135000
39142000-9;Gartenmöbel;Garden furniture;Muebles de jardín;Mobilier de jardin;Mobiliário de jardim;39142000
39143100-7;Mobiliar für Schlafzimmer;Bedroom furniture;Muebles de dormitorio;Mobilier de chambre à coucher;Mobiliário para quartos de dormir;39143100
39143112-4;Matratzen;Mattresses;Colchones;Matelas;Colchões;39143112
39152000-2;Mobile Bücherregale;Mobile bookshelves;Estanterías móviles para libros;Rayonnages mobiles;Estantes móveis para livros;39152000
39162000-5;Lehrmaterial;Educational equipment;Equipamiento de enseñanza;Matériel d'enseignement;Equipamento pedagógico;39162000
39221120-4;Tassen und Gläser;Cups and glasses;Tazas y vasos;Tasses et verres;Chávenas e copos;39221120
39224210-3;Malerpinsel;Painters' brushes;Brochas de pintor;Pinceaux de peintre en bâtiment;Pincéis de pintor;39224210
39224340-3;Mülleimer;Bins;Cubos de basura;Poubelles;Vasilhas;39224340
39254000-7;Zeitmessung;Horology;Relojería;Horlogerie;Horometria;39254000
39298000-7;"Statuetten, Ziergegenstände; Rahmen für Fotografien oder Bilder, Spiegel";"Statuettes, ornaments; photograph or picture frames, and mirrors";Estatuillas, objetos de adorno, marcos para fotografías o para cuadros y espejos;Statuettes, ornements, cadres pour photographies ou images et miroirs;"Estatuetas e ornamentos; molduras para fotografias ou gravuras e espelhos";39298000
39314000-6;Industrielle Kücheneinrichtungen;Industrial kitchen equipment;Equipo para cocinas industriales;Équipement de cuisine industrielle;Equipamento para cozinha industrial;39314000
39515420-5;Textiljalousien;Textile blinds;Estores de tela;Stores en textile;Estores de matérias têxteis;39515420
39700000-9;Haushaltsgeräte;Domestic appliances;Aparatos domésticos;Appareils ménagers;Aparelhos de uso doméstico;39700000
39713510-1;Dampfbügeleisen;Steam irons;Planchas de vapor;Fers à vapeur;Ferros a vapor;39713510
39721300-5;Nichtelektrische Heißlufterzeuger und -verteiler;Non-electric air heaters or hot air-distributors;Generadores o distribuidores de aire caliente no eléctricos;Réchauffeurs d'air ou distributeurs d'air chaud non électriques;Aquecedores de ambiente ou distribuidores de ar quente, não eléctricos;39721300
39812500-2;Dichtungsmittel;Sealants;Agentes de estanqueidad;Agents d'étanchéité;Agentes de estanquidade;39812500
42112210-2;Wasserräder;Water wheels;Ruedas hidráulicas;Roues hydrauliques;Rodas hidráulicas;42112210
42123700-4;Kreiselkompressoren;Centrifugal compressors;Compresores centrífugos;Compresseurs centrifuges;Compressores centrífugos;42123700
42124213-0;Teile für Betonpumpen;Parts of concrete pumps;Partes de bombas de hormigón;Pièces pour pompes à béton;Peças para bombas para betão;42124213
42124290-3;Teile für Kreiselpumpen;Parts of centrifugal pumps;Partes de bombas centrífugas;Pièces pour pompes centrifuges;Peças para bombas centrífugas;42124290
42131141-6;Druckminderventile;Pressure-reducing valves;Válvulas reductoras de presión;Soupapes de détente;Válvulas redutoras de pressão;42131141
42221000-1;Teile für Maschinen für die Lebensmittelverarbeitung;Parts of machinery for food processing;Partes de máquinas y aparatos para procesar alimentos;Pièces pour machines de traitement des aliments;Peças para máquinas para a indústria alimentar;42221000
42412110-1;Bergbaufördermaschinen;Pithead winding gear;Máquinas extractoras;Machines d'extraction;Máquinas de extracção para poços de minas;42412110
42413200-6;Hydraulische Wagenheber;Hydraulic jacks;Gatos hidráulicos;Vérins hydrauliques;Macacos hidráulicos;42413200
42414100-2;Kräne;Cranes;Grúas;Grues;Gruas;42414100
42414200-3;Laufkräne;Overhead travelling cranes;Puentes rodantes;Ponts roulants;Gruas suspensas;42414200
42417200-4;Fördereinrichtungen;Conveyors;Transportadores;Convoyeurs;Aparelhos transportadores;42417200
42512100-9;Klimageräte zum Einbau in Fenster;Window air-conditioning machines;Acondicionadores de aire para ventanas;Machines de climatisation de type fenêtre;Aparelhos de ar condicionado para instalação em janelas;42512100
42512300-1;Heizungs-, Lüftungs- und Klimaanlagen;HVAC packages;Unidades de climatización;Unités de climatisation;Sistemas de aquecimento, ventilação e ar condicionado;42512300
42635000-6;Prägedruckmaschinen;Die-stamping machines;Máquinas para estampar;Machines à estamper;Máquinas de estampar;42635000
